system,composition,steps,atoms_mean,enthalpy_mean,enthalpy/atoms_mean,atoms_sem,enthalpy_sem,enthalpy/atoms_sem,atoms_count,enthalpy_count,enthalpy/atoms_count
Cu-Ni,Ni0.96,667,19652,-84098.1071,-4.279366329126807,0.0,9.015094284896099,0.0004587367334061753,10,10,10
Cu-Ni,Ni0.98,667,19652,-84473.5178,-4.298469255037655,0.0,6.241485255572802,0.0003176005116819487,10,10,10
Cu-Ni,Ni0.99,667,19652,-84670.4303,-4.3084892275595355,0.0,7.4133024040862185,0.00037722890311856123,10,10,10
Cu-Ni,Ni1.00,667,19652,-84839.0533,-4.317069677386526,0.0,4.600283969616837,0.00023408731781056856,10,10,10
La-Al,Al0.00,667,19652,-86409.84210000001,-4.396999903317728,0.0,27.488419100677632,0.001398759368037599,10,10,10
La-Al,Al0.01,667,19652,-86389.0567,-4.395942229798494,0.0,22.12460429177695,0.0011258194734265583,10,10,10
La-Al,Al0.02,667,19652,-86472.9426,-4.400210797883167,0.0,12.000790512109413,0.0006106650983161714,10,10,10
La-Al,Al0.98,667,19652,-65670.2502,-3.341657347852636,0.0,327.3317428102501,0.01665640865104053,10,10,10
La-Al,Al0.99,667,19652,-65189.1054,-3.317174099328313,0.0,5.715623965549068,0.00029084184640486505,10,10,10
La-Al,Al1.00,667,19652,-64491.62869999999,-3.2816827142275597,0.0,5.229550847614165,0.0002661078184212036,10,10,10
Mg-Cu,Cu0.00,667,19652,-28492.694200000005,-1.449862314268268,0.0,1.6449124920999183,8.370204010277346e-05,10,10,10
Mg-Cu,Cu0.01,667,19652,-28955.680700000004,-1.4734215703236309,0.0,10.304554203576483,0.0005243514249733553,10,10,10
Mg-Cu,Cu0.02,667,19652,-29451.8442,-1.4986690514960308,0.0,1.6259259638742973,8.273590290423024e-05,10,10,10
Mg-Cu,Cu0.90,667,19652,-64918.56559999999,-3.303407571748423,0.0,12.006801449548684,0.0006109709673086661,10,10,10
Mg-Cu,Cu0.92,667,19652,-65411.06519999999,-3.328468613881539,0.0,7.196980957781434,0.0003662212984827185,10,10,10
Mg-Cu,Cu0.94,667,19652,-65981.02049999998,-3.3574710207612455,0.0,7.241474797994513,0.0003684853856093109,10,10,10
Mg-Cu,Cu0.96,667,19652,-66572.51729999999,-3.3875695756157134,0.0,2.8963799322998685,0.00014738346897511282,10,10,10
Mg-Cu,Cu0.98,667,19652,-67156.74380000001,-3.4172981783024623,0.0,3.3261422793116937,0.00016925210051454439,10,10,10
Mg-Cu,Cu0.99,667,19652,-67463.59349999999,-3.4329123498880514,0.0,8.856964874228941,0.00045069025413342086,10,10,10
Mg-Cu,Cu1.00,667,19652,-67743.06270000001,-3.4471332536128636,0.0,4.563350886380151,0.00023220796287292325,10,10,10
Mg-Y,Y0.00,667,19652,-28382.1173,-1.4442355638102993,0.0,23.332078330082894,0.0011872622801792584,10,10,10
Mg-Y,Y0.01,667,19652,-29028.989299999997,-1.4771519082027276,0.0,13.74679190538654,0.0006995110882040669,10,10,10
Mg-Y,Y0.02,667,19652,-29696.101300000002,-1.5110981732139224,0.0,14.292548100360454,0.0007272821137980808,10,10,10
Mg-Y,Y0.90,667,19652,-79240.69330000001,-4.032194855485447,0.0,2.871135102861749,0.00014609887557814872,10,10,10
Mg-Y,Y0.92,667,19652,-80191.1088,-4.08055713413393,0.0,12.175388610544234,0.0006195495934532698,10,10,10
Mg-Y,Y0.94,667,19652,-81177.58459999999,-4.130754355790759,0.0,11.997570373667045,0.000610501240263995,10,10,10
Mg-Y,Y0.96,667,19652,-82213.76299999999,-4.1834807144311,0.0,9.7512369836404,0.0004961956535538349,10,10,10
Mg-Y,Y0.98,667,19652,-83257.4877,-4.236591069611235,0.0,7.366284119856597,0.0003748363586329446,10,10,10
Mg-Y,Y0.99,667,19652,-83798.9011,-4.26414111031956,0.0,6.400528199470907,0.0003256934764640231,10,10,10
Mg-Y,Y1.00,667,19652,-84236.24969999999,-4.286395771422756,0.0,7.3298609385768145,0.0003729829502634972,10,10,10
Ni-Zr,Zr0.00,667,19652,-85359.38840000001,-4.343547140240179,0.0,8.789965917263393,0.00044728098500220045,10,10,10
Ni-Zr,Zr0.01,667,19652,-86271.1086,-4.389940392835333,0.0,4.576843349829461,0.00023289453235447085,10,10,10
Ni-Zr,Zr0.02,667,19652,-87219.3613,-4.438192616527581,0.0,7.675444499687903,0.0003905681101000324,10,10,10
Ni-Zr,Zr0.04,667,19652,-89019.3347,-4.5297849938937516,0.0,6.668247622626422,0.00033931648802297483,10,10,10
Ni-Zr,Zr0.06,667,19652,-90806.9777,-4.6207499338489715,0.0,9.535010177761768,0.0004851928647342696,10,10,10
Ni-Zr,Zr0.08,667,19652,-92558.50989999999,-4.709877361082841,0.0,6.170441389668334,0.00031398541571690374,10,10,10
Ni-Zr,Zr0.10,667,19652,-94242.46440000001,-4.795566069611236,0.0,5.551513631834621,0.00028249102543431503,10,10,10
Ni-Zr,Zr0.90,667,19652,-120780.85500000001,-6.1459828516181565,0.0,14.621518483993782,0.0007440219053528056,10,10,10
Ni-Zr,Zr0.92,667,19652,-121117.942,-6.16313566049257,0.0,22.633726152703336,0.001151726346056628,10,10,10
Ni-Zr,Zr0.94,667,19652,-121455.31399999998,-6.180302971707714,0.0,13.718433195278909,0.000698068043724793,10,10,10
